"Region","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_MTkm2","Stckbio_STO_MTkm2","Stckbio_upr_STO_MTkm2","Stckbio_lwr_SUR_MTkm2","Stckbio_SUR_MTkm2","Stckbio_upr_SUR_MTkm2","Tbio_lwr_SUR_MTkm2","Tbio_SUR_MTkm2","Tbio_upr_SUR_MTkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"Celtic-Biscay Shelf",1995,1847224.14231955,1770159.05607,765387.410618823,1701754.66399785,1315471.05466,745785.095400891,4.11138646185169,4.94354426855414,5.83921051103981,3.75680817195248,5.83536651726205,9.06394493203148,17.3403728593563,24.7995664853611,35.4674321509761,0.11776465849512,0.112851587386879,0.255635436672633,49.1178531723264,53.8334879835515,50.3740214569536
"Celtic-Biscay Shelf",1996,1725460.27901382,1535262.21353,661457.264368677,1581935.43841296,1119417.5028,632273.581332345,3.86521506422344,4.62373951664583,5.44157729672708,2.30240340250115,3.64506516969586,5.77070902383854,14.3903259293738,20.6944685550577,29.7603425299838,0.131822686524697,0.117291827559802,0.229823611575258,52.870135008058,55.1016169760617,59.3226518828723
"Celtic-Biscay Shelf",1997,1609815.0288805,1615024.62208,679218.865163771,1462288.31444301,1170940.61319,658156.854291228,3.78994779413645,4.511005826878,5.29208956581009,3.96840343550721,5.67641048216045,8.11954643363082,19.684980293331,26.3422007173187,35.2508119536493,0.0966191901849539,0.0969318637947153,0.243735834342187,54.9995473818186,60.163273122027,63.4340960397387
"Celtic-Biscay Shelf",1998,1824117.2967214,1761031.79207,674722.720210271,1683161.17149839,1299569.07935,652511.296061409,3.61099216512645,4.30861402495195,5.06709941127989,3.69342575535724,5.18348424126346,7.27468498329887,19.9235882121858,26.1975496464495,34.4471889385074,0.110085865078451,0.106278641515612,0.247913018041616,56.7333986187828,53.8163332243022,73.1156942374256
"Celtic-Biscay Shelf",1999,1554280.85241603,1367332.87038,627966.888278134,1435479.73671945,996482.68053,608162.667718392,3.62006990251105,4.32173351164826,5.08734149018819,4.33967985370737,6.22648957007495,8.93364802777605,23.1977149570778,30.864221041388,41.0643954481823,0.0796184367715791,0.070041978267202,0.228118161343902,56.2423237989921,59.7345614840966,60.1976755958443
"Celtic-Biscay Shelf",2000,1409663.03323472,1358408.92044,605593.746048349,1292361.50354814,1010096.24714,575469.855505423,3.71715046424403,4.43771989043327,5.21690298616944,2.82578096533657,4.05539000297282,5.82005055521105,17.4956438453098,23.2727249783191,30.9574047520219,0.0957651611555966,0.0922832238018092,0.214309170806785,56.2168194575894,54.7583895273445,74.9866155800297
"Celtic-Biscay Shelf",2001,1459998.33586862,1539269.26888,657519.312212704,1348286.95654796,1104887.97027,622521.636635561,3.6928321833312,4.40936630435714,5.18905985245884,4.3501922081985,6.10348313889556,8.56341619953603,20.704561873898,27.3548747980807,36.1412706907855,0.0843834154335494,0.0889650316640393,0.229580824254253,55.8859917992818,55.5651315775285,70.0589502932435
"Celtic-Biscay Shelf",2002,1255442.20995729,1515245.9464,626675.414673172,1143449.01972984,1097604.30583,594121.610743108,3.61267153867697,4.32523305257229,5.1016828174585,6.33858650336483,8.87765133772357,12.4337962781367,26.687498663596,35.347455824986,46.8175249036616,0.0561536558479731,0.0677742063508254,0.222106363532234,54.6238878166784,53.3715458342086,64.4111405841359
"Celtic-Biscay Shelf",2003,1343171.56570487,1451830.29416,646379.88710547,1234552.98512155,1073308.85315,610215.583561685,3.56255826844572,4.25031326169974,4.99761296935991,6.84386454392276,9.37884829708123,12.8527960796321,24.1714252954183,31.6329316082285,41.3977392686283,0.0671322985339952,0.0725631090002263,0.234049889573101,58.2188780633516,58.6073806648496,60.9270015006677
"Celtic-Biscay Shelf",2004,1326029.81357736,1268142.98915,639744.292162697,1222693.70285534,952123.20925,594718.384921052,3.65279559275233,4.3407589953375,5.09304088653335,7.09495366198448,9.70314295849311,13.2701336412421,28.4368880480557,36.9688268926902,48.0606091465462,0.0567096659551364,0.0542340485573472,0.22641859002021,56.0653211598139,50.7696183132335,57.7577252870633
"Celtic-Biscay Shelf",2005,1422876.94878298,1355559.00745,588634.55174893,1326735.02054404,1013334.03935,551114.103900878,3.67565874090287,4.33960508320224,5.06167107155421,4.95578881758308,6.79282434852209,9.3108210071748,20.4829454173033,26.7023881043038,34.8103027150836,0.0842474394191067,0.0802615963782733,0.210454755088499,65.60936407013,54.8684407358032,48.4234831067708
"Celtic-Biscay Shelf",2006,1455896.75060109,1555670.14959,528486.524179489,1356960.60737719,1231716.11878,502368.587731808,3.65477629371452,4.30000656528534,4.99668588587737,5.55712027635095,7.62978735479597,10.4755074902986,20.7148631246518,27.1146512738885,35.4916327122457,0.0848918550040603,0.0907095401638986,0.187710197652655,68.497233939445,54.7020932939365,50.1759956494754
"Celtic-Biscay Shelf",2007,1382772.42202913,1318025.23381,521115.532421198,1281485.11224332,1027991.93085,493769.845769855,3.61548393830665,4.23726884970825,4.90686807482511,6.9995812910153,9.53886674847581,12.9993459697329,24.7635221158056,32.3243199948097,42.1935804705245,0.0676333317484977,0.0644664562808913,0.190286320593954,69.9727145988551,55.864647048555,56.3358712139453
"Celtic-Biscay Shelf",2008,1373072.7392555,1307038.91512,509459.018995037,1283593.16871749,1025876.67095,484308.909381665,3.68741507759108,4.32858529211738,5.02403624038132,6.75965384829862,9.21642315404042,12.5660954925543,26.1613212088671,33.9892233078436,44.1593638122104,0.0638692438263754,0.0607976436890184,0.186263091834853,71.0971965344666,44.1236351110413,57.7173559246355
"Celtic-Biscay Shelf",2009,1195712.6512661,1184968.51105,528304.387027442,1099225.93385903,904230.14065,496393.098338425,3.94951994156093,4.62975431937565,5.37715227777993,7.78160375285518,10.7167649219311,14.7590463405172,29.195544024272,38.1392942797919,49.8228690978073,0.0495671149744396,0.049121727001979,0.186898486257814,62.6170799708695,53.7884438351984,60.6837843212054
"Celtic-Biscay Shelf",2010,1301219.22722269,1412375.07341,598407.276816384,1201665.04472751,1061711.28876,551120.136209998,4.19916223421729,4.91025990879891,5.69546440653135,5.95012451102642,8.04758790666381,10.8844228377853,33.336043966474,43.2349692902736,56.0733172601649,0.0475833251213824,0.0516481011849535,0.201999554971249,63.8415724645155,55.6629767410899,72.149171202265
"Celtic-Biscay Shelf",2011,958715.877810038,1341598.51255,606729.200402089,871099.070483412,996153.13176,564517.543472999,4.4500124522361,5.22836706244359,6.10199217315899,6.85177102761272,9.3445892497056,12.7443471029326,31.6298095082023,41.2083183244437,53.6875031981563,0.0367827756672689,0.0514727233217329,0.195959313522809,49.0130709730508,49.4331967958963,65.7802537561992
"Celtic-Biscay Shelf",2012,1114934.61758648,1155598.4441,620004.552115644,1035273.19420798,900749.85314,582177.314911915,4.23766825607401,4.96987644194351,5.788370788223,7.18696418713659,9.71270646931369,13.1260800113481,31.9183886177967,41.5772985195345,54.1591172688034,0.0423967535449518,0.043943045321792,0.210146579180603,56.2066456300884,56.6476913807023,64.5683112315463
